VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602070302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602070401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602070402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602070501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Tutored_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Being tutored?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602070502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Travel_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Travel (car/bus/train)?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602080101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Travel_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Travel (car/bus/train)?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602080102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Travel_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Travel (car/bus/train)?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Travel_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Travel (car/bus/train)?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602080202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Travel_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Travel (car/bus/train)?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602080301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Travel_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Travel (car/bus/train)?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602080302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
